case_index,B,Sq,Sk,Hq,Hk,D,gqa_ratio,dtype,causal,window_left,window_right,softcap,rank_signature
0,1,3,5,2,1,16,2,float32,True,-1,0,0,4x4x4x4x4x4x4
1,1,4,6,2,1,16,2,float16,True,-1,0,10,4x4x4x4x4x4x4
2,1,5,7,4,1,16,4,bfloat16,True,-1,0,20,4x4x4x4x4x4x4
3,1,4,7,2,1,16,2,float32,True,5,0,50,4x4x4x4x4x4x4
4,1,5,8,4,1,16,4,float16,False,5,-1,0,4x4x4x4x4x4x4
5,1,3,5,2,1,16,2,bfloat16,False,5,3,10,4x4x4x4x4x4x4
6,1,5,7,2,1,16,2,float32,False,11,7,20,4x4x4x4x4x4x4
7,1,7,11,4,2,24,2,float16,False,11,15,50,4x4x4x4x4x4x4
8,1,11,13,4,2,32,2,bfloat16,True,11,0,0,4x4x4x4x4x4x4
9,1,13,17,6,2,32,3,float32,True,23,0,10,4x4x4x4x4x4x4
10,2,7,11,4,2,24,2,float16,True,23,0,20,4x4x4x4x4x4x4
11,1,15,19,4,2,40,2,bfloat16,True,23,0,50,4x4x4x4x4x4x4
12,2,11,17,6,3,40,2,float32,False,47,-1,0,4x4x4x4x4x4x4
13,1,17,23,8,2,32,4,float16,False,47,3,10,4x4x4x4x4x4x4
14,1,19,29,6,2,48,3,bfloat16,False,47,7,20,4x4x4x4x4x4x4
15,1,150,180,28,7,128,4,float32,False,79,15,50,4x4x4x4x4x4x4
16,1,160,190,32,8,96,4,float16,True,79,0,0,4x4x4x4x4x4x4
17,1,150,180,28,4,128,7,bfloat16,True,79,0,10,4x4x4x4x4x4x4
18,1,150,180,40,10,128,4,float32,True,-1,0,20,4x4x4x4x4x4x4
19,2,120,150,32,8,96,4,float16,True,-1,0,50,4x4x4x4x4x4x4
20,2,150,180,40,10,96,4,bfloat16,False,-1,-1,0,4x4x4x4x4x4x4
21,1,160,200,40,10,128,4,float32,False,5,3,10,4x4x4x4x4x4x4
22,1,150,180,28,4,128,7,float16,False,5,7,20,4x4x4x4x4x4x4
23,2,100,130,32,8,128,4,bfloat16,False,5,15,50,4x4x4x4x4x4x4
24,2,160,200,40,10,128,4,float32,True,11,0,0,4x4x4x4x4x4x4
25,1,150,180,32,8,128,4,float16,True,11,0,10,4x4x4x4x4x4x4
26,1,140,170,28,7,128,4,bfloat16,True,11,0,20,4x4x4x4x4x4x4
27,2,120,150,36,9,128,4,float32,True,23,0,50,4x4x4x4x4x4x4
28,2,120,150,40,10,96,4,float16,False,23,-1,0,4x4x4x4x4x4x4
29,1,150,180,40,10,96,4,bfloat16,False,23,3,10,4x4x4x4x4x4x4
30,1,180,220,48,12,128,4,float32,False,47,7,20,4x4x4x4x4x4x4
31,2,120,150,40,10,128,4,float16,False,47,15,50,4x4x4x4x4x4x4
32,2,110,140,36,9,128,4,bfloat16,True,47,0,0,4x4x4x4x4x4x4
33,3,75,100,36,9,128,4,float32,True,79,0,10,4x4x4x4x4x4x4
34,1,200,260,48,12,128,4,float16,True,79,0,20,4x4x4x4x4x4x4
35,1,300,350,56,14,128,4,bfloat16,True,79,0,50,4x4x4x4x4x4x4
36,1,300,350,56,14,128,4,float32,False,-1,-1,0,4x4x4x4x4x4x4
37,1,300,350,56,14,128,4,float16,False,-1,3,10,4x4x4x4x4x4x4
38,2,200,250,48,12,128,4,bfloat16,False,-1,7,20,4x4x4x4x4x4x4
39,2,200,250,48,12,128,4,float32,False,5,15,50,4x4x4x4x4x4x4
40,2,250,300,56,14,128,4,float16,True,5,0,0,4x4x4x4x4x4x4
41,3,150,180,48,12,128,4,bfloat16,True,5,0,10,4x4x4x4x4x4x4
42,3,180,220,56,14,128,4,float32,True,11,0,20,4x4x4x4x4x4x4
43,4,150,180,48,12,128,4,float16,True,11,0,50,4x4x4x4x4x4x4
44,1,350,400,64,16,128,4,bfloat16,False,11,-1,0,4x4x4x4x4x4x4
45,1,400,500,72,18,128,4,float32,False,23,3,10,4x4x4x4x4x4x4
46,2,200,250,64,16,128,4,float16,False,23,7,20,4x4x4x4x4x4x4
47,2,250,300,72,18,128,4,bfloat16,False,23,15,50,4x4x4x4x4x4x4
48,3,200,250,64,16,128,4,float32,True,47,0,0,4x4x4x4x4x4x4
49,4,180,220,72,18,128,4,float16,True,47,0,10,4x4x4x4x4x4x4
